# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "pdam_1415_maker.gtf" "-o" "feature_counts.out" "-t" "exon" "-g" "gene_id" "Wt1-1a_1415.bam" "Wt1-1b_1415.bam" "Wt1-1c_1415.bam" "Wt1-2a_1415.bam" "Wt1-2b_1415.bam" "Wt1-3a_1415.bam" "Wt1-3b_1415.bam" "Wt1-3c_1415.bam" "Wt1-4a_1415.bam" "Wt1-4b_1415.bam" "Wt1-4c_1415.bam" "Wt1-5a_1415.bam" "Wt1-5b_1415.bam" "Wt1-5c_1415.bam" "Wt1-6b_1415.bam" "Wt1-6c_1415.bam" "Wt2-1a_1415.bam" "Wt2-1b_1415.bam" "Wt2-1c_1415.bam" "Wt2-2b_1415.bam" "Wt2-2c_1415.bam" "Wt2-3a_1415.bam" "Wt2-3b_1415.bam" "Wt2-3c_1415.bam" "Wt2-4a_1415.bam" "Wt2-5a_1415.bam" "Wt2-5b_1415.bam" "Wt2-5c_1415.bam" "Wt2-6a_1415.bam" "Wt2-6b_1415.bam" "Wt2-6c_1415.bam" 
Geneid	Chr	Start	End	Strand	Length	Wt1-1a_1415.bam	Wt1-1b_1415.bam	Wt1-1c_1415.bam	Wt1-2a_1415.bam	Wt1-2b_1415.bam	Wt1-3a_1415.bam	Wt1-3b_1415.bam	Wt1-3c_1415.bam	Wt1-4a_1415.bam	Wt1-4b_1415.bam	Wt1-4c_1415.bam	Wt1-5a_1415.bam	Wt1-5b_1415.bam	Wt1-5c_1415.bam	Wt1-6b_1415.bam	Wt1-6c_1415.bam	Wt2-1a_1415.bam	Wt2-1b_1415.bam	Wt2-1c_1415.bam	Wt2-2b_1415.bam	Wt2-2c_1415.bam	Wt2-3a_1415.bam	Wt2-3b_1415.bam	Wt2-3c_1415.bam	Wt2-4a_1415.bam	Wt2-5a_1415.bam	Wt2-5b_1415.bam	Wt2-5c_1415.bam	Wt2-6a_1415.bam	Wt2-6b_1415.bam	Wt2-6c_1415.bam
pdam_00000364	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	999612;1000148;1001277	999989;1000719;1001448	-;-;-	1122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
pdam_00000365	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1002265;1003962;1005166	1003560;1004361;1006671	-;-;-	3202	67	53	87	56	71	102	98	140	60	68	61	96	158	162	150	199	146	65	100	4	88	104	88	110	109	136	162	104	232	225	175
pdam_00000366	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1007236;1008715;1009751;1010645;1011514;1012746;1015010	1007443;1008895;1009987;1010683;1011668;1012964;1015711	+;+;+;+;+;+;+	1741	263	256	278	142	253	170	210	217	180	177	229	209	414	344	378	376	464	298	258	20	166	133	202	138	245	389	388	180	387	266	362
pdam_00000367	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1017162;1017690;1018118;1018658	1017329;1017915;1018174;1018746	-;-;-;-	540	37	29	32	19	35	28	13	47	33	27	24	36	52	61	41	63	60	43	34	0	10	31	28	48	27	67	57	32	102	57	89
pdam_00000368	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1037650;1038017;1039105;1039686;1039898	1037717;1038526;1039164;1039766;1040157	+;+;+;+;+	979	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	3	0	0	0	0	2	2	0
pdam_00000369	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1040713;1042170;1042460;1043755;1044226;1045224;1046188;1046846;1047267;1047600;1047796;1048186;1049036;1049464;1049830;1050735;1051324;1051940;1052417;1053152;1053820;1054903;1055378	1040923;1042292;1042494;1044067;1044540;1045898;1046416;1046940;1047515;1047698;1047902;1048476;1049173;1049733;1050009;1050950;1051534;1052076;1052671;1053251;1054014;1055039;1056817	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6021	155	94	183	146	69	68	58	28	53	51	37	26	106	99	68	78	122	21	23	2	49	11	33	43	14	66	48	16	43	49	38
pdam_00000370	SczhEnG_1415	1057498	1058565	-	1068	284	159	415	247	320	191	290	186	131	92	88	122	227	313	205	213	628	229	167	24	763	128	356	316	62	353	319	136	283	406	288
pdam_00000371	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1059992;1061175;1061428;1061691;1062210;1062699;1062845;1064372;1064688;1065323;1065896;1066273;1066405;1066936;1067308;1067678;1068777;1069466	1060212;1061299;1061474;1061725;1062275;1062754;1062885;1064465;1064741;1065387;1065995;1066311;1066452;1067090;1067423;1067763;1068854;1069852	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1813	153	138	145	136	213	148	143	222	98	132	150	103	228	263	234	254	309	145	108	12	73	109	134	133	143	212	306	150	289	217	210
pdam_00000372	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1070923;1072442;1073564;1074162;1074397;1074877;1075233;1075701	1071169;1072510;1073642;1074229;1074496;1074927;1075292;1076426	+;+;+;+;+;+;+;+	1400	365	296	422	157	298	138	246	155	231	124	188	176	330	325	292	389	547	349	210	27	250	158	159	150	136	380	319	175	291	202	172
pdam_00000373	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1088729;1090857;1091325;1091522;1091795;1092427;1092718;1093477;1094068;1102086;1102407;1102877;1103383;1103638;1105342	1090202;1091018;1091398;1091548;1091886;1092533;1092987;1093588;1094183;1102141;1102558;1102931;1103410;1103694;1105453	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2894	95	61	115	184	186	115	119	113	105	84	91	92	82	192	57	152	92	63	95	14	278	105	178	195	86	172	162	134	157	124	144
pdam_00000374	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1094638;1094900;1095328;1096104	1094707;1094973;1095489;1096293	+;+;+;+	496	47	33	65	51	48	60	52	90	61	43	56	68	36	109	46	105	41	43	50	2	175	38	70	86	51	73	123	57	115	118	99
pdam_00000375	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1111158;1111454;1112705;1115285;1117044;1117313;1118780	1111160;1112006;1114643;1116847;1117082;1117387;1118864	+;+;+;+;+;+;+	4257	174	79	113	76	116	99	143	131	82	62	94	84	167	205	156	256	189	86	97	3	118	52	96	83	25	157	132	76	181	142	80
pdam_00000376	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1119764;1120623;1122547;1123259;1124912;1126032;1126848;1128380;1130034	1119975;1120725;1122723;1123343;1125087;1126178;1127186;1128562;1130266	-;-;-;-;-;-;-;-;-	1655	5	6	6	6	16	12	13	12	5	18	13	11	18	19	31	30	37	6	8	0	10	11	13	28	17	32	16	17	34	35	32
pdam_00000377	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1130527;1131425;1132733;1133183;1134117;1134684;1135443;1136258;1136634;1137258;1137335;1138044	1130777;1131607;1132905;1133519;1134263;1134859;1135589;1136342;1136822;1137290;1137497;1138709	+;+;+;+;+;+;+;+;+;+;+;+	2550	151	153	171	108	275	71	215	161	108	256	147	182	346	234	471	498	630	320	131	38	125	150	231	229	162	358	211	195	570	399	381
pdam_00000378	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1143214;1151871;1152739;1153854;1154151;1154914;1155699;1156851;1157394;1158555;1160302;1160959;1161407;1163241;1163576;1163797;1164530;1165570;1165933;1166212;1167024;1167686;1168602;1169078;1170280;1170974	1143312;1152126;1152823;1153934;1154296;1155168;1155931;1156954;1158098;1159455;1160430;1161005;1162143;1163426;1163673;1163922;1164650;1165629;1166068;1166431;1167227;1168070;1168769;1169712;1170380;1171121	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6366	156	189	214	89	244	132	166	124	234	179	169	249	359	320	267	356	383	261	198	16	213	119	277	221	218	319	204	147	428	395	351
pdam_00000379	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1175999;1177850;1178956	1176999;1178535;1179705	-;-;-	2437	37	44	41	21	30	55	63	39	38	48	62	45	85	80	91	105	84	51	50	1	34	36	61	45	38	80	62	28	102	86	68
pdam_00000380	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1179837;1180513;1181218;1181869;1182403;1182601;1182925;1183715;1184983;1186429;1186975;1187561;1188011;1188282;1188640;1189211;1189733;1190480;1190769;1191176;1191909;1192201;1192570;1193036;1193376;1194042;1194600;1194844;1195007	1179967;1180714;1181349;1181944;1182488;1182660;1183013;1183860;1185166;1186521;1187065;1187637;1188137;1188374;1188739;1189284;1189860;1190595;1190881;1191323;1191959;1192325;1192649;1193108;1193546;1194194;1194717;1194911;1195411	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3510	94	73	124	58	99	87	101	102	104	87	119	88	196	176	233	234	213	114	122	15	117	100	104	115	169	144	155	104	231	240	215
pdam_00000381	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1205886;1207757;1208057;1208412;1208969;1209503;1209942;1210721;1211206;1212154;1212408;1212842;1213247;1216912;1217374;1217907;1218482;1218815;1219192;1219728;1220520;1220855;1221188;1222072;1222387;1222673;1222912;1223600;1223952;1224864;1225342;1226129;1227072	1206933;1207836;1208093;1208497;1209034;1209628;1210410;1210808;1211290;1212279;1212452;1212978;1213431;1216990;1217554;1218081;1218592;1218858;1219296;1219872;1220605;1220896;1221271;1222140;1222488;1222736;1223022;1223739;1224093;1224955;1225504;1226286;1227820	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5420	69	100	93	69	82	121	109	100	64	74	92	82	188	202	113	183	264	110	76	6	71	43	125	112	60	175	133	49	193	159	136
pdam_00000382	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1246950;1247181;1247868;1248884	1247065;1247338;1248022;1249228	+;+;+;+	774	344	311	314	152	350	221	171	293	183	108	150	222	509	495	345	361	624	456	449	21	232	143	160	126	222	333	565	188	425	260	393
pdam_00000383	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1246982;1252275;1252524;1253136;1253481;1254113;1255425;1255961;1256569;1257293;1257489	1247033;1252370;1252646;1253303;1253611;1254182;1255524;1256161;1256613;1257413;1257527	-;-;-;-;-;-;-;-;-;-;-	1146	56	65	88	28	55	48	52	48	64	35	56	65	127	111	109	86	179	97	92	8	46	65	53	58	75	89	106	75	119	81	109
pdam_00000384	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1259254;1260025;1261189;1261761;1262475;1262768;1263520;1264184;1264954;1265693;1266389;1266688;1267618;1267891;1268086;1268754;1268935;1270224	1259477;1260260;1261285;1262017;1262581;1263049;1263921;1264375;1265035;1265852;1266511;1267035;1267717;1267933;1268198;1268827;1268998;1271045	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3726	126	114	129	62	129	82	71	107	125	83	98	112	171	178	197	220	251	140	179	17	200	85	110	85	125	146	184	101	236	175	180
pdam_00000385	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1271290;1272947;1273693;1274191;1274664	1271625;1273043;1273803;1274253;1276149	+;+;+;+;+	2093	428	320	374	224	317	273	265	312	200	249	264	223	467	468	465	484	631	318	312	50	326	308	255	198	280	433	514	377	445	425	417
pdam_00000386	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1280172;1286458;1287390;1288641;1291810	1280344;1286495;1287556;1288699;1291900	-;-;-;-;-	528	2	0	0	1	0	2	1	0	0	2	2	1	1	0	2	4	0	1	0	0	0	0	1	1	1	2	2	0	1	1	4
pdam_00000387	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1282166;1282572;1284569;1286234;1286900;1287452;1288035;1288440;1288851;1289403;1289822;1290154;1290819;1290974;1291460;1292089;1292626;1293181;1293352;1293862;1294006;1297174;1303445;1303967;1304620;1305412;1305551;1307046;1307725;1308930	1282198;1282654;1284786;1286323;1287002;1287574;1288130;1288575;1288897;1289552;1289865;1290264;1290864;1291001;1291515;1292229;1292694;1293231;1293423;1293934;1294080;1297283;1303480;1304068;1304645;1305476;1306704;1307115;1307895;1309582	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4232	122	94	127	99	159	144	179	232	91	210	154	184	372	215	504	288	499	173	169	23	128	123	203	208	261	248	268	135	409	389	411
pdam_00000388	SczhEnG_1415;SczhEnG_1415	1294349;1294773	1294415;1295926	-;-	1221	2	1	1	0	0	1	1	0	1	0	0	0	2	4	6	0	1	0	0	0	0	3	0	0	0	1	2	0	0	4	0
pdam_00000389	SczhEnG_1415	1298245	1301466	-	3222	111	85	113	75	110	98	74	127	93	75	81	90	121	181	90	157	161	82	89	3	79	53	81	80	52	115	158	72	169	178	128
pdam_00000390	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1313618;1314080;1314328;1314455	1313827;1314139;1314415;1314519	-;-;-;-	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0
pdam_00000391	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1314941;1319455;1321177;1323343;1326003;1327095	1317250;1319609;1321265;1323495;1326270;1328027	-;-;-;-;-;-	3908	41	38	35	15	8	7	15	5	10	12	22	4	32	21	27	33	13	5	12	0	3	1	3	8	4	13	8	3	17	14	5
pdam_00000392	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1339240;1346575;1346959;1347999;1348299;1348858	1341183;1346690;1347044;1348145;1348566;1349280	-;-;-;-;-;-	2984	0	2	5	1	2	2	1	1	0	0	0	3	3	4	4	8	4	5	1	0	0	0	2	1	0	4	0	0	5	5	5
pdam_00000393	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1359532;1361184;1361664;1362093;1362673;1363493;1364148;1364457;1364844;1365787;1366657;1367165;1367979;1369334;1370514;1370967;1371382;1371944	1360769;1361315;1361847;1362242;1362821;1363609;1364267;1364605;1365170;1366324;1366838;1367477;1368133;1369892;1370716;1371015;1371669;1371955	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4865	83	76	110	41	124	77	70	35	106	79	94	121	163	126	124	135	212	128	83	8	78	53	140	72	83	126	85	54	144	207	155
pdam_00000394	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1377022;1378686;1379886;1380321;1381034;1381276;1382368;1382790;1383207;1383522;1383976;1384366	1377350;1378860;1380033;1380444;1381117;1381417;1382453;1382834;1383297;1383587;1384080;1384660	+;+;+;+;+;+;+;+;+;+;+;+	1690	400	189	333	172	274	186	185	210	148	172	238	210	343	320	321	337	593	352	394	39	426	192	270	184	253	296	377	211	417	382	429
pdam_00000395	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1396562;1397297;1397832;1398590;1399306;1399912;1400454;1400963;1401181;1401468;1402137;1402419;1403426;1404165;1404571;1405412;1405839;1406419;1407048;1407559;1408049;1409408;1409962;1410500;1411688;1412383;1413113;1414020	1396945;1397345;1397966;1398757;1399359;1399989;1400530;1401026;1401277;1401646;1402380;1402845;1403503;1404249;1404895;1405511;1405983;1406495;1407158;1407616;1408514;1409486;1410057;1410617;1411803;1412523;1413226;1414330	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4376	145	104	152	72	147	120	115	151	131	122	129	159	237	209	225	220	302	140	176	13	143	114	148	117	181	162	260	124	290	296	266
pdam_00000396	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1416864;1416963;1417164;1418089;1419000;1420212;1420937	1416875;1417136;1417272;1418172;1419092;1420298;1421247	+;+;+;+;+;+;+	870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pdam_00000397	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1425372;1426456;1427945	1425716;1426975;1429209	-;-;-	2130	64	37	54	22	47	55	42	54	44	47	42	39	78	83	77	104	112	61	67	7	30	36	55	46	54	90	65	44	101	76	74
pdam_00000398	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1432874;1433812;1436747	1433212;1434331;1437732	-;-;-	1845	35	39	35	17	44	36	34	35	25	31	37	36	63	56	66	74	61	32	51	0	27	45	53	42	58	44	63	49	106	71	75
pdam_00000399	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1438811;1440982;1442134;1442583;1442913;1443591;1444191;1444564;1444987;1445595;1446234;1446810;1446954;1447606;1448152;1448353;1448698;1449236;1449678;1450387;1450548;1450719;1451103;1451732;1452384;1452614;1452934;1453480;1454335;1454840;1455615;1455884;1456803;1457561;1462162;1462663	1440181;1441027;1442187;1442680;1442983;1443657;1444265;1444637;1445080;1445678;1446338;1446864;1447137;1447682;1448224;1448393;1448815;1449341;1449758;1450463;1450596;1450764;1451194;1451812;1452489;1452684;1453053;1453551;1454553;1454949;1455684;1455964;1456906;1457655;1462277;1463189	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4910	724	618	958	370	366	604	957	608	592	397	711	436	1276	1075	871	1102	1176	595	431	36	354	314	626	560	551	1224	904	369	901	606	623
pdam_00000400	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1441842;1442765;1444463;1448505;1453467;1458677;1461941	1441908;1442796;1444651;1448556;1453510;1459006;1461958	+;+;+;+;+;+;+	732	3	1	3	3	2	1	2	2	2	2	4	0	10	5	8	8	10	1	3	0	3	0	6	4	3	2	11	0	18	1	3
pdam_00000401	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1463822;1466365;1466825;1467278;1467445;1468171;1468318;1469902;1472510;1472877;1474374;1475653;1476132;1478393	1465724;1466455;1466916;1467349;1467520;1468213;1468417;1470039;1472567;1473747;1474638;1475688;1477120;1479768	-;-;-;-;-;-;-;-;-;-;-;-;-;-	6110	492	462	542	337	356	417	431	329	457	391	485	394	658	706	646	753	872	502	368	46	232	354	451	405	415	748	661	430	786	610	612
pdam_00000402	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1463865;1465990;1466065;1470171;1471635;1472986;1478058	1464084;1466031;1466116;1470308;1471668;1473054;1478105	+;+;+;+;+;+;+	603	0	1	0	1	4	0	2	0	3	2	2	0	1	1	2	2	0	0	0	0	0	0	0	1	1	3	3	0	3	0	0
pdam_00000403	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1484116;1484997;1485813;1486598;1486822	1484522;1485271;1486179;1486663;1488004	-;-;-;-;-	2298	285	233	279	129	299	205	217	292	179	182	252	209	303	374	334	405	400	271	311	32	273	252	196	195	244	338	419	242	467	419	390
pdam_00000404	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1488638;1489253;1490137;1491093;1491842;1492363;1492894;1493565;1494451;1494745;1495402;1495688;1496229;1496528;1497077;1497338	1489036;1489330;1490226;1491325;1492048;1492435;1493016;1493685;1494573;1494855;1495487;1495756;1496367;1496595;1497163;1497451	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2121	73	71	98	49	84	88	76	83	67	80	61	96	192	128	155	149	201	111	114	10	91	97	110	95	132	134	140	116	187	189	175
pdam_00000405	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1500398;1501195;1501850;1502424;1503102;1503604;1503927;1504986;1508473	1501015;1501272;1501927;1502864;1503278;1503765;1504031;1505040;1508624	-;-;-;-;-;-;-;-;-	1866	38	82	46	41	77	67	86	63	71	77	86	69	97	129	133	191	110	72	57	6	81	103	96	125	84	94	98	121	231	172	133
pdam_00000406	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1513920;1515639;1516357;1516850;1517328;1518897;1520028;1520881	1515367;1516014;1516434;1516933;1517492;1519001;1520076;1521417	-;-;-;-;-;-;-;-	2842	323	315	324	222	290	316	229	279	293	206	319	316	716	544	625	536	904	252	318	28	180	306	374	388	333	491	454	392	633	533	617
pdam_00000407	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1524180;1525998;1526458;1526901;1527452;1528039;1528444;1528870;1530161	1525595;1526373;1526535;1526981;1527613;1528143;1528492;1529108;1530254	-;-;-;-;-;-;-;-;-	2600	3	0	3	1	4	4	4	1	1	0	1	1	1	1	3	2	2	1	2	0	1	0	0	2	3	2	3	0	2	1	2
